GEOID10,Shape_Leng,Shape_Area,State,County,LIFEEXP,LIFEEXP_SE,NEG_LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_NEG_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,Perimeter_km,Area_ha,Perimeter,Area,Shape_Index,Index_1,Index_2,P_Index_1,P_Index_2,PCA_Index_V1,PCA_Index_V2
23031005100,50666.4857801,126399144.66,Maine,"York County, ME",80.3,1.8603,69.7,6.7534076827757,3.9893617021277,0.395256916996,1.5215852795471,31.931846953517116,3.91548507527868,18.2529263291785,25.4743848934163,6.38585542968327,50.666485780133144,12639.914465977998,31.48268493568711,48.802952394121505,0.0492382455282177,16.4719223162893,17.192099736214775,0.04348926917176772,0.03485098967874536,-34.65916116835102,-34.17318663246947
23031020000,69745.9694572,203991097.371,Maine,"York County, ME",78.3,1.3215,71.7,10.4295971765851,8.7123192193762,0,3.694321300401101,52.1148891172572,10.5597146009617,46.3908387804772,22.214977696134895,35.7267485553353,69.7459694571535,20399.10973710428,43.338122787560934,78.76135428463378,0.04193464624441934,18.907247539272483,33.401433750033256,0.17516345709902745,0.23405269350490743,-40.71951750124327,-73.09934359627002
23017966900,105055.950404,357366990.625,Maine,"Oxford County, ME",79.5,1.5961,70.5,43.1632010081915,14.598233066891,0.5947323704333,3.0674846625767,39.98182982589399,75.1170690505015,69.4377420493708,30.0198933441839,26.05483541879,105.05595040435011,35736.69906249598,65.27872095870144,137.98008109662422,0.03237972253628243,26.384730221618497,48.122273937748034,0.6238029280788764,0.46336922687398535,-61.277240733873626,-113.30365553249987
23017966400,111354.823591,432768144.078,Maine,"Oxford County, ME",80.3,1.961,69.7,43.328596241907405,12.8093492208982,0,5.4025423728813,31.931846953517116,75.3548563610457,63.8213899786097,22.214977696134895,59.4324234712743,111.3548235912323,43276.814407834114,69.1926580897076,167.09261118812037,0.03490094742368323,26.248097567137386,50.55109889211634,0.6169220916551241,0.5017499962766037,-60.91029557124324,-119.03025232956098
23017965900,111001.473945,449009851.444,Maine,"Oxford County, ME",82.7,2.9229,67.3,34.163934426229496,5.1815585475315995,0.2279635258359,3.5294117647059005,12.190399594894478,60.7653010670124,25.7279378866855,23.505173563935905,33.1649659592161,111.00147394490595,44900.9851444351,68.97309686662015,173.36356558038415,0.03644167900926515,22.080573652860576,31.070755614348872,0.37743323950374574,0.19978255365414116,-50.22947506566844,-71.46937301103989
23017966600,117409.166197,657477012.86,Maine,"Oxford County, ME",78.9,2.2208,71.1,28.291032148900104,7.5327972915784995,0,5.2878179384203,46.100114680607064,49.3502977209281,40.1091571556996,22.214977696134895,57.9869392565018,117.40916619678528,65747.70128603496,72.95465100886268,253.85313678521143,0.04769540771944702,22.44232947577978,43.15229730197429,0.401352337548218,0.3845970540488211,-50.394850015102584,-97.727615481761
23017966800,96009.8245189,476887346.308,Maine,"Oxford County, ME",76.5,1.6865,73.5,32.503770739064805,6.741573033707899,0,3.5915492957746,69.11219337831196,57.604681965718,35.5721336506258,22.214977696134895,34.1102981113966,96.00982451888794,47688.73463082528,59.657720671125915,184.12711986211875,0.05173499926118354,23.26737861370946,43.722856960437454,0.4539415873583248,0.3935183116631667,-52.57616706318889,-100.07218566706422
23017966000,226168.202824,1249142313.6,Maine,"Oxford County, ME",80.5,1.296,69.5,36.946463978849906,8.3115752828546,0,5.3349875930521,29.888447045857347,65.6562796058129,44.3505449952689,22.214977696134895,58.53953811226209,226.1682028244844,124914.23136036527,140.53436235725272,482.2962451871703,0.024420178034763,24.018605370951324,44.12995749106723,0.4988159599660426,0.3998927661856039,-54.95203854275642,-102.07311487488188
23023970600,21795.5932889,15581212.6148,Maine,"Sagadahoc County, ME",75,1.6024,75,37.073775573465504,9.0078328981723,0,1.2026458208058,80.61227529303129,65.844878803288,47.9055829802477,22.214977696134895,4.00531690744753,21.795593288869203,1558.1212614768424,13.543149597497946,6.015936100896654,0.0327992462386758,24.45685085848872,44.11660633602988,0.524343565226457,0.3996395752349463,-55.884276598542016,-103.73109630560754
23023970700,100479.015825,297803096.552,Maine,"Sagadahoc County, ME",81.4,1.6885,68.6,18.1902768085601,4.9760191846523,0,2.1748400852878,21.402826802496165,27.4530167929916,24.4703309539166,22.214977696134895,13.3600646519205,100.47901582486844,29780.309655201185,62.434746542114326,114.98234725376584,0.02949704183092837,18.78822721570004,21.780243379491953,0.1680592168952832,0.07644877351324784,-41.19317591511895,-47.991865838677136
23023970500,33255.1455725,50449670.5827,Maine,"Sagadahoc County, ME",76.1,1.3433,73.9,33.9414595028067,3.5213283710278,0,2.4031007751938,72.43346290752572,60.3845046794969,15.2544824289524,22.214977696134895,16.3166557465773,33.255145572468784,5044.96705826626,20.6637830595105,19.478714657222117,0.04561846085040674,22.753177729805664,37.32081669173745,0.4213395290648318,0.29431213976140475,-51.37358633697643,-84.8880920840814
