FID,OBJECTID,GEOID10,County,Shape_Leng,Shape_Area,LOWINCPCT,LINGISOPCT,LESSHSPCT,UNEMPPCT,LIFEEXP,P_LIFEEXP,EJIndex
35,29690,23005012000,"Cumberland County, ME",78772.608979399999953,230765290.488000005483627,0.145753500000000,0.000000000000000,0.013325300000000,0.021079900000000,80.1999969,35.603506000000003,19.643173000000001
36,29700,23001010700,"Androscoggin County, ME",41221.207950900003198,57699229.479000002145767,0.164981000000000,0.058139500000000,0.087826100000000,0.010668200000000,79.6999969,40.966062999999998,22.372295000000001
37,29701,23005002200,"Cumberland County, ME",15627.678491599999688,8873321.463400000706315,0.242931700000000,0.000000000000000,0.065633100000000,0.024273600000000,76.9000015,69.504908000000000,22.036767999999999
38,29702,23005002102,"Cumberland County, ME",21683.899712400001590,18708411.824799999594688,0.380323500000000,0.111273100000000,0.108701500000000,0.029595900000000,81.4000015,23.422694000000000,28.877880000000001
39,29703,23005002002,"Cumberland County, ME",24502.780133299998852,17883181.624099999666214,0.380306300000000,0.009930500000000,0.065682300000000,0.014339600000000,76.0000000,76.947777000000002,24.605174000000002
40,29704,23005002001,"Cumberland County, ME",11667.456874699999389,6384131.005210000090301,0.322356500000000,0.046221600000000,0.089330000000000,0.025174100000000,74.1999969,88.349248000000003,24.501643000000001
41,29705,23005001900,"Cumberland County, ME",7860.327149859999736,3204355.574700000230223,0.211710600000000,0.000000000000000,0.027888400000000,0.020060600000000,81.9000015,18.978646000000001,21.573191999999999
42,29706,23005001800,"Cumberland County, ME",10871.364970799999355,5939607.635359999723732,0.186105600000000,0.005110700000000,0.053140100000000,0.017865300000000,77.9000015,59.813115000000003,20.824434000000000
43,29708,23001010600,"Androscoggin County, ME",48518.314676100002544,118860431.243000000715256,0.289371400000000,0.007758000000000,0.033629100000000,0.026804100000000,74.9000015,84.569726000000003,22.131252000000000
44,29712,23005001500,"Cumberland County, ME",7714.140136379999603,3262298.869529999792576,0.309350500000000,0.019891500000000,0.026090300000000,0.025133300000000,78.4000015,54.833682000000003,23.289311999999999
45,29713,23005001300,"Cumberland County, ME",7474.001980209999601,2390336.180250000208616,0.233119900000000,0.057588800000000,0.038961000000000,0.025073100000000,78.0999985,57.879342000000001,22.714856000000001
46,29714,23005000200,"Cumberland County, ME",5592.249687589999667,1382701.705739999888465,0.353438300000000,0.010998300000000,0.102589200000000,0.012385900000000,74.8000031,85.100369000000001,24.548234999999998
47,29715,23005000100,"Cumberland County, ME",5884.526183769999989,1695136.415680000092834,0.193145000000000,0.000000000000000,0.025388600000000,0.000000000000000,77.5999985,62.886248999999999,19.890671999999999
48,29716,23005004401,"Cumberland County, ME",37700.152332500001648,37142499.826600000262260,0.116167900000000,0.012282500000000,0.040850600000000,0.021309600000000,80.0999985,36.661416000000003,19.832211999999998
49,29717,23005011500,"Cumberland County, ME",99142.892811500001699,353182639.536000013351440,0.196350800000000,0.000000000000000,0.041538500000000,0.022304000000000,81.3000031,24.368524000000001,21.463867000000000
50,29718,23005014000,"Cumberland County, ME",78939.443838999999571,186296395.976999998092651,0.224949400000000,0.000000000000000,0.060938000000000,0.039509500000000,80.9000015,28.274716999999999,22.687937999999999
51,29719,23005004001,"Cumberland County, ME",45061.319910999998683,53289881.927199997007847,0.114928200000000,0.012455500000000,0.032015100000000,0.009244200000000,78.9000015,49.614182000000000,19.152860000000000
52,29720,23005002502,"Cumberland County, ME",58826.693335800002387,129187775.965000003576279,0.074466800000000,0.009434000000000,0.008946700000000,0.019509100000000,84.6999969,5.048425000000000,19.187131000000001
53,29721,23005002501,"Cumberland County, ME",29062.553758499998366,51194557.498700000345707,0.109106500000000,0.004524900000000,0.029588000000000,0.039347900000000,81.6999969,20.646508999999998,19.991344999999999
54,29722,23005002101,"Cumberland County, ME",14603.709564700000556,9758401.405829999595881,0.130457300000000,0.000000000000000,0.009806200000000,0.038461500000000,81.4000015,23.422694000000000,19.854500000000002
55,29723,23005004402,"Cumberland County, ME",42111.468182999997225,76926973.561100006103516,0.094307600000000,0.000000000000000,0.030684500000000,0.016772700000000,84.0000000,7.328834000000000,19.635296000000000
56,29724,23005004200,"Cumberland County, ME",115373.470717000003788,227824460.530000001192093,0.082424100000000,0.009003200000000,0.032123600000000,0.047609000000000,82.1999969,16.670470999999999,19.863197000000000
57,29725,23005002400,"Cumberland County, ME",63133.989103499996418,170239738.460999995470047,0.144427000000000,0.000000000000000,0.016559300000000,0.032208600000000,86.0000000,2.396388000000000,21.063897999999998
58,29726,23005013000,"Cumberland County, ME",73484.393891600004281,181698515.058999985456467,0.345669300000000,0.000000000000000,0.113902300000000,0.032592600000000,77.0000000,68.667809000000005,25.243283999999999
59,29727,23005003702,"Cumberland County, ME",47614.997416500002146,73108307.049099996685982,0.086785800000000,0.000000000000000,0.004158600000000,0.013544000000000,82.3000031,15.927892999999999,18.549769000000001
60,29728,23005003701,"Cumberland County, ME",23840.922998099998949,31127905.926699999719858,0.051171700000000,0.007155600000000,0.004832500000000,0.000000000000000,89.6999969,0.130398000000000,19.203195000000001
61,29729,23005011202,"Cumberland County, ME",29283.508125000000291,14150648.047499999403954,0.260813100000000,0.021956900000000,0.066583900000000,0.059090900000000,79.1999969,46.346997000000002,24.008894999999999
62,29730,23005011300,"Cumberland County, ME",52828.069982000000891,100462938.378999993205070,0.085040600000000,0.000000000000000,0.052401700000000,0.039850600000000,82.1999969,16.670470999999999,19.985856999999999
63,29731,23005011201,"Cumberland County, ME",56656.533594200001971,70923231.957800000905991,0.217640800000000,0.000000000000000,0.052660900000000,0.013337300000000,81.3000031,24.368524000000001,21.932780999999999
64,29732,23005011100,"Cumberland County, ME",54146.622839199997543,85543578.503999993205070,0.282495300000000,0.003212000000000,0.083683400000000,0.037489100000000,80.3000031,34.618965000000003,24.197596999999998
65,29733,23005016500,"Cumberland County, ME",105653.673970999996527,410578957.589999973773956,0.265609800000000,0.000000000000000,0.109583300000000,0.018518500000000,79.9000015,38.814461000000001,23.854232000000000
66,29734,23005016000,"Cumberland County, ME",108923.445491000005859,336073903.736999988555908,0.339930800000000,0.000000000000000,0.062822300000000,0.027657400000000,79.0000000,48.541246000000001,24.408210000000000
67,29735,23005015000,"Cumberland County, ME",82499.241798699993524,170904558.076000005006790,0.347561000000000,0.000000000000000,0.096153800000000,0.019551000000000,83.5999985,8.868594999999999,25.985316000000001
68,29827,23017966500,"Oxford County, ME",70184.976001599992742,238792780.757999986410141,0.402605500000000,0.000000000000000,0.055409000000000,0.064102600000000,0.0000000,0.000000000000000,10.442342000000000
69,29834,23023990000,Sagadahoc County,131350.960775000014110,308923439.496999979019165,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000,0.000000000000000,0.000000000000000
70,29842,23005002300,"Cumberland County, ME",12112.757944099999804,6421641.848989999853075,0.391482600000000,0.064214000000000,0.149762300000000,0.042639600000000,0.0000000,0.000000000000000,12.961970000000001
71,29846,23005001700,"Cumberland County, ME",9136.646244440000373,3732059.908030000049621,0.167390400000000,0.000000000000000,0.029293500000000,0.017601000000000,0.0000000,0.000000000000000,4.285698000000000
72,29847,23005001200,"Cumberland County, ME",2602.439158029999817,323624.000205999996979,0.307387900000000,0.046757200000000,0.056213000000000,0.021256900000000,0.0000000,0.000000000000000,8.632300000000001
73,29848,23005001100,"Cumberland County, ME",3944.450994700000138,643551.924681999953464,0.460102500000000,0.070985500000000,0.054858200000000,0.019387100000000,0.0000000,0.000000000000000,12.106666000000001
74,29849,23005001000,"Cumberland County, ME",4514.744068859999970,911539.683381999959238,0.486901900000000,0.084788000000000,0.063636400000000,0.035254900000000,0.0000000,0.000000000000000,13.411624000000000
75,29850,23005000600,"Cumberland County, ME",5530.144941360000303,1199642.962670000037178,0.562520000000000,0.106749300000000,0.078406200000000,0.066704000000000,0.0000000,0.000000000000000,16.287590000000002
76,29851,23005000500,"Cumberland County, ME",9313.428132450000703,3024691.767239999957383,0.590685200000000,0.167647100000000,0.272511800000000,0.037953800000000,0.0000000,0.000000000000000,21.375958000000001
77,29852,23005000300,"Cumberland County, ME",17655.795941399999720,5481785.181570000015199,0.529137500000000,0.054794500000000,0.112689000000000,0.059927400000000,0.0000000,0.000000000000000,15.130967999999999
78,29853,23005004600,"Cumberland County, ME",54106.390032900002552,106688158.986000001430511,0.126001100000000,0.000000000000000,0.023727500000000,0.028213200000000,0.0000000,0.000000000000000,3.558836000000000
79,29854,23005004100,"Cumberland County, ME",69541.296544500000891,134744079.018000006675720,0.184551300000000,0.000000000000000,0.040583000000000,0.026578900000000,0.0000000,0.000000000000000,5.034264000000000
80,29855,23005004002,"Cumberland County, ME",38477.905426800003625,66188107.642399996519089,0.192029600000000,0.017649300000000,0.033514500000000,0.022807800000000,0.0000000,0.000000000000000,5.320024000000000
81,29861,23005990000, ,147073.974090000003343,690553946.542000055313110,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000,0.000000000000000,0.000000000000000
